100% Natural Bran,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973
All-Bran,120,3,5,15,2,8,8,135,0,3,1,1,33.983679
All-Bran with Extra Fiber,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
Almond Delight,50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
Apple Cinnamon Cheerios,110,2,2,200,1,14,8,1,25,3,1,0.75,34.384843
Apple Jacks,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541
Basic 4,110,2,0,125,1,11,14,30,25,2,1,1,33.174094
Bran Chex,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562
Bran Flakes,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253
Cap'n'Crunch,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813
Cheerios,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851
Cinnamon Toast Crunch,110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999
Clusters,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573
Cocoa Puffs,110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208
Corn Chex,110,1,1,180,0,12,13,55,25,2,1,1,22.736446
Corn Flakes,110,2,0,280,0,22,3,25,25,1,1,1,41.445019
Corn Pops,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
Count Chocula,110,1,0,90,1,13,12,20,25,2,1,1,35.782791
Cracklin' Oat Bran,110,1,1,180,0,12,13,65,25,2,1,1,22.396513
Cream of Wheat (Quick),110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
Crispix,100,3,0,80,1,21,0,1,0,2,1,1,64.533816
Crispy Wheat & Raisins,110,2,0,220,1,21,3,30,25,3,1,1,46.895644
Double Chex,100,2,1,140,2,11,10,120,25,3,1,0.75,36.176196
Froot Loops,100,2,0,190,1,18,5,80,25,3,1,0.75,44.330856
Frosted Flakes,110,2,1,125,1,11,13,30,25,2,1,1,32.207582
Frosted Mini-Wheats,110,1,0,200,1,14,11,25,25,1,1,0.75,31.435973
Fruit & Fibre Dates; Walnuts; and Oats,100,3,0,0,3,14,7,100,25,2,1,0.8,58.345141
Fruitful Bran,120,3,2,160,5,12,10,200,25,3,1.25,0.67,40.917047
Fruity Pebbles,120,3,0,240,5,14,12,190,25,3,1.33,0.67,41.015492
Golden Crisp,110,1,1,135,0,13,12,25,25,2,1,0.75,28.025765
Golden Grahams,100,2,0,45,0,11,15,40,25,1,1,0.88,35.252444
Grape Nuts Flakes,110,1,1,280,0,15,9,45,25,2,1,0.75,23.804043
Grape-Nuts,100,3,1,140,3,15,5,85,25,3,1,0.88,52.076897
Great Grains Pecan,110,3,0,170,3,17,3,90,25,3,1,0.25,53.371007
Honey Graham Ohs,120,3,3,75,3,13,4,100,25,3,1,0.33,45.811716
Honey Nut Cheerios,120,1,2,220,1,12,11,45,25,2,1,1,21.871292
Honey-comb,110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,31.072217
Just Right Crunchy  Nuggets,110,1,0,180,0,14,11,35,25,1,1,1.33,28.742414
Just Right Fruit & Nut,110,2,1,170,1,17,6,60,100,3,1,1,36.523683
